Current Attendence Sheet Data of GEO21523  |  All Type


-,2019-02-27-13:00:00-Lect-1H-ng,2019-02-28-16:00:00-Lect-1H-ng,2019-03-07-16:00:00-Lect-1H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-14-10:00:00-Lect-1H-ng,2019-03-21-10:00:00-Lect-1H-ng,2019-03-21-16:00:00-Lect-1H-ng,2019-03-27-13:00:00-Lect-1H-ng,2019-03-28-10:00:00-Lect-1H-ng,2019-03-28-16:00:00-Lect-1H-ng,2019-04-03-13:00:00-Lect-1H-ng,2019-04-04-10:00:00-Lect-1H-ng,2019-04-04-16:00:00-Lect-1H-ng,2019-04-05-10:00:00-Lect-1H-ng,2019-05-15-13:00:00-Lect-1H-ng,2019-05-16-10:00:00-Lect-1H-ng,2019-05-16-16:00:00-Lect-1H-ng,2019-05-22-13:00:00-Lect-1H-ng,2019-05-23-10:00:00-Lect-1H-ng,2019-05-23-16:00:00-Lect-1H-ng,2019-05-29-13:00:00-Lect-1H-ng,2019-05-30-10:00:00-Lect-1H-ng,2019-05-30-16:00:00-Lect-1H-ng,2019-06-06-10:00:00-Lect-1H-ng,2019-06-06-16:00:00-Lect-1H-ng,2019-06-27-16:00:00-Lect-1H-ng,%
HS/2017/16413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,23 %,
HS/2017/16416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8 %,
HS/2017/16427,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,23 %,
HS/2017/16432,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,38 %,
HS/2017/16438,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,50 %,
HS/2017/16447,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,19 %,
HS/2017/16450,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,35 %,
HS/2017/16456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12 %,
HS/2017/16481,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,35 %,
HS/2017/16483,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,19 %,
HS/2017/16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,23 %,
HS/2017/16499,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,38 %,
HS/2017/16501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,19 %,
HS/2017/16506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,23 %,
HS/2017/16508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,23 %,
HS/2017/16510,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,46 %,
HS/2017/16512,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,31 %,
HS/2017/16517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,19 %,
HS/2017/16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16527,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,38 %,
HS/2017/16529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,31 %,
HS/2017/16530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,15 %,
HS/2017/16543,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,42 %,
HS/2017/16545,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,35 %,
HS/2017/16547,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,42 %,
HS/2017/16552,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,50 %,
HS/2017/16555,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,31 %,
HS/2017/16557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4 %,
HS/2017/16558,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,46 %,
HS/2017/16559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,27 %,
HS/2017/16562,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,50 %,
HS/2017/16570,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,27 %,
HS/2017/16579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,15 %,
HS/2017/16582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,15 %,
HS/2017/16584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,15 %,
HS/2017/16586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,27 %,
HS/2017/16594,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,38 %,
HS/2017/16595,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,27 %,
HS/2017/16596,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15 %,
HS/2017/16603,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,38 %,
Total,0,0,6,1,0,9,19,27,55,43,45,0,0,0,0,0,0,41,58,57,53,77,69,82,73,19,
