Current Attendence Sheet Data of POS11513  |  All Type


-,2019-02-26-14:00:00-Lect-2H-ng,2019-03-05-14:00:00-Lect-2H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-18-09:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-2H-ng,2019-03-25-15:00:00-Lect-1H-ng,2019-04-01-09:00:00-Lect-1H-ng,2019-04-08-14:00:00-Lect-1H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-21-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-10-15:00:00-Lect-1H-ng,2019-06-11-14:00:00-Lect-2H-ng,2019-06-17-14:00:00-Lect-2H-ng,2019-06-18-14:00:00-Lect-2H-ng,2019-06-24-09:00:00-Lect-1H-ng,2019-06-25-14:00:00-Lect-2H-ng,2019-07-01-15:00:00-Lect-1H-ng,2019-07-02-14:00:00-Lect-2H-ng,%
HS/2018/16991,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,48 %,
HS/2018/16992,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,52 %,
HS/2018/16999,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,33 %,
HS/2018/17003,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,48 %,
HS/2018/17004,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,45 %,
HS/2018/17012,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,39 %,
HS/2018/17013,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,36 %,
HS/2018/17018,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27 %,
HS/2018/17020,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,45 %,
HS/2018/17023,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,39 %,
HS/2018/17025,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,48 %,
HS/2018/17028,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,27 %,
HS/2018/17040,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,58 %,
HS/2018/17041,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,64 %,
HS/2018/17050,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,48 %,
HS/2018/17052,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,52 %,
HS/2018/17057,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,39 %,
