Current Attendence Sheet Data of GEO22633  |  All Type


-,2019-08-01-08:00:00-Lect-1H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-08-20-08:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-09:00:00-Lect-1H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-30-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-03-09:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-1H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-17-10:00:00-Lect-2H-ng,%
HS/2017/16533,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16534,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16535,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16536,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16540,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16541,M,M,1,M,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16544,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16546,0,1,1,0,1,1,1,1,1,1,1,1,1,1,M,0,0,M,1,1,1,0,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16549,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16553,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16581,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16588,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,89 %,
HS/2017/16591,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,84 %,
Total,17,62,75,49,68,67,66,70,73,70,70,73,75,76,71,68,69,73,72,74,72,69,74,71,73,79,65,69,67,68,74,
