Current Attendence Sheet Data of GEO11513  |  All Type


-,2019-02-26-08:00:00-Lect-2H-ng,2019-02-28-13:00:00-Lect-1H-ng,2019-03-05-08:00:00-Lect-2H-ng,2019-03-07-13:00:00-Lect-1H-ng,2019-03-12-08:00:00-Lect-2H-ng,2019-03-14-13:00:00-Lect-1H-ng,2019-03-19-08:00:00-Lect-2H-ng,2019-03-21-13:00:00-Lect-1H-ng,2019-03-26-08:00:00-Lect-2H-ng,2019-03-28-13:00:00-Lect-1H-ng,2019-04-02-08:00:00-Lect-2H-ng,2019-04-04-13:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-2H-ng,2019-04-11-13:00:00-Lect-1H-ng,2019-05-16-13:00:00-Lect-1H-ng,2019-05-21-08:00:00-Lect-2H-ng,2019-05-23-13:00:00-Lect-1H-ng,2019-05-28-08:00:00-Lect-2H-ng,2019-05-30-13:00:00-Assi-1H-ng,2019-06-04-08:00:00-Lect-2H-ng,2019-06-06-13:00:00-Lect-1H-ng,2019-06-11-08:00:00-Lect-2H-ng,2019-06-13-13:00:00-Lect-1H-ng,2019-06-18-08:00:00-Lect-2H-ng,2019-06-20-13:00:00-Lect-1H-ng,2019-06-25-08:00:00-Lect-2H-ng,2019-06-27-13:00:00-Lect-1H-ng,%
HS/2018/16808,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,48 %,
HS/2018/16809,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,53 %,
HS/2018/16810,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16811,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,55 %,
HS/2018/16812,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,55 %,
HS/2018/16815,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16817,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16818,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16823,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,55 %,
HS/2018/16825,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,58 %,
HS/2018/16826,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,63 %,
HS/2018/16828,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,58 %,
HS/2018/16829,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16831,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30 %,
HS/2018/16835,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,30 %,
HS/2018/16836,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,35 %,
HS/2018/16838,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16839,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,38 %,
HS/2018/16841,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,65 %,
HS/2018/16843,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,63 %,
HS/2018/16845,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,63 %,
HS/2018/16846,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,50 %,
HS/2018/16848,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,63 %,
HS/2018/16849,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,68 %,
HS/2018/16850,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16852,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,55 %,
HS/2018/16855,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,45 %,
HS/2018/16856,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,48 %,
HS/2018/16861,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,68 %,
HS/2018/16863,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,55 %,
HS/2018/16865,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,55 %,
HS/2018/16866,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,45 %,
HS/2018/16867,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,65 %,
HS/2018/16868,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16870,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,48 %,
HS/2018/16872,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,53 %,
HS/2018/16875,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,63 %,
HS/2018/16876,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16877,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,65 %,
HS/2018/16879,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,30 %,
HS/2018/16880,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,55 %,
HS/2018/16883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5 %,
